,Unnamed: 0,post_id,post_date,post_text,nlikes,nreposts,ncomments,comm_id,user_id,comm_date,comm_text,owner_id,parents_stack,thread,attachments,is_from_post_author,deleted,reply_to_user,reply_to_comment
0,0,4406,1708002654,"Новички, охваченные энтузиазмом, часто попадают в ловушку чрезмерных тренировок. Они начинают посещать болдерзал 4-5 дней в неделю, полагая, что больше - всегда лучше. 

Однако, такой подход может нанести вред организму, потенциально привести к травмам и застою в прогрессе.

👆 Ключ к устойчивому росту заключается в том, чтобы найти ритм, обеспечивающий достаточное время для восстановления. 

Опытные скалолазы могут позволить себе более частые тренировки, новичкам же следует отдавать предпочтение качеству, а не количеству. Это значит, что нужно давать организму время на адаптацию и восстановление между занятиями, стимулируя прогресс без чрезмерных нагрузок. 

📌 Начинать стоит с умеренной частоты занятий, обычно от 2 до 3 в неделю. Одна тренировка в неделю, как правило, не приносит желаемый результат. 

По мере роста уровня лазания и опыта, вы можете постепенно увеличивать частоту занятий. 
Самая лучшая стратегия, это чередовать количество тренировок в неделю. Например, если вы тренировались 2 дня в неделю, переходите к графику 2-3-2-3 в течение месяца, чередуя более насыщенные недели с привычными. Если вы успеваете восстанавливаться и чувствуете себе хорошо, попробуйте режим 3-3-3-2 в следующем месяце. 

👆 Нагрузка также влияет на частоту занятий. 

Интенсивность каждой тренировки может варьироваться в зависимости от ее направленности, будь то выносливость, отработка техники, развитие мощности и т.п. Сложные тренировки на выносливость могут требовать восстановления до 72 часов, в то время как отработка техники и постановки ног на лежачке отнимет куда меньше сил. Не нужно догматично относиться к недельному графику, прислушивайтесь к своему организму. 

📌 Длительность тренировки - это еще один элемент пазла. Профессиональные спортсмены часто выполняют несколько коротких в течение дня. Если вы лазаете по 4 часа за раз (что не очень-то рекомендуется), вам определенно потребует больше дней отдыха в неделю.",8,0,1,4407,260091507,1708023970,"Я воспринимаю сигналом перетренированности постепенно нарастающую лёгкую болезненность мышц и связок. Знаете, начинает ""накапливаться"": один палец, другой, запястье, колено... Не то, чтобы явная травма, и сильно болит, а, так, слегка побаливает и мешает лазанию и прочей деятельности.",-38936316.0,[],"{'count': 0, 'items': [], 'can_post': True, 'show_reply_button': True, 'groups_can_post': True}",,,,,
1,1,4402,1707849256,"Друзья! 
Будьте внимательны - с 15 по 18 февраля наш скалодром будет закрыт в связи с проведением детских соревнований Территория О-Скал. 

Просим прощения за доставленные неудобства 🙏

🔥 Также хотим вас обрадовать, что с 19 по 27 февраля мы проводим недельный фестиваль Boulderhouse Fest для взрослых. 

Следите за новостями!",10,0,2,4403,113333128,1707855036,А эти соревы у вас только для собственной команды?,-38936316.0,[],"{'count': 1, 'items': [{'id': 4405, 'from_id': -38936316, 'date': 1708001839, 'text': '[id113333128|Антон], вы имеет ввиду взрослые соревнования?', 'post_id': 4402, 'owner_id': -38936316, 'parents_stack': [4403], 'reply_to_user': 113333128, 'reply_to_comment': 4403, 'is_from_post_author': True}], 'can_post': True, 'show_reply_button': True, 'groups_can_post': True}",,,,,
2,2,4397,1707751452,,50,2,4,4398,2878129,1707766153,Я специально на видео сорвался 😎,-38936316.0,[],"{'count': 1, 'items': [{'id': 4400, 'from_id': 2847724, 'date': 1707804415, 'text': '[id2878129|Илья], кто тебе поверит))', 'post_id': 4397, 'owner_id': -38936316, 'parents_stack': [4398], 'reply_to_user': 2878129, 'reply_to_comment': 4398}], 'can_post': True, 'show_reply_button': True, 'groups_can_post': True}",,,,,
3,3,4397,1707751452,,50,2,4,4399,624671,1707766849,Аааахахахахааааа 👏 🤭🤣🤣🤣🤣,-38936316.0,[],"{'count': 0, 'items': [], 'can_post': True, 'show_reply_button': True, 'groups_can_post': True}",,,,,
4,4,4397,1707751452,,50,2,4,4401,260091507,1707806408,RZ Films по плодовитости приближается к Боливуду! 😀,-38936316.0,[],"{'count': 0, 'items': [], 'can_post': True, 'show_reply_button': True, 'groups_can_post': True}",,,,,
5,5,4390,1707065417,"Скалолазание - это физически и психологически сложный вид спорта, который требует правильного руководства, особенно для новичков. Выбор хорошего тренера по скалолазанию может существенно повлиять на ваш опыт обучения и безопасность. 

☝️ Как выбрать идеального тренера по скалолазанию:

1. Изучите расписание всех тренеров на скалодроме, чтобы выбрать оптимальные для вас варианты. Лучше выбрать группу, в которую вы сможете ходить систематически, чем постоянно пропускать тренировки из-за работы и других обстоятельств.

2. Сравните уровень опыта и квалификации тренеров в разных видах, чтобы убедиться, что ваш тренер обладает достаточным опытом в интересующем вас виде скалолазания, будь то скалолазание на трудность, боулдеринг, скорость или лазание на скалах.

3. Ознакомьтесь с отзывами других скалолазов, проходивших обучение у данного тренера. Скалолазные чаты, форумы и другое сарафанное радио могут дать вам необходимые сведения.

4. Познакомьтесь с тренером на скалодроме, расскажите о себе и своих запросах, задайте необходимые вопросы. Это поможет вам оценить стиль коммуникации тренера и понять, насколько вам будет комфортно взаимодействовать в дальнейшем. 

5. Сходите на разовое, пробное или индивидуальное занятие с тренером. Вы можете попробовать позаниматься с разными тренерами, чтобы понять, кто лучше вам подходит по стилю преподавания.

⚡️ На нашем скалодроме работает команда настоящих профессионалов, которые сделают ваш пусть в скалолазании более легким и увлекательным! 

Ознакомиться с расписанием тренеров можно на нашем сайте rzclimbing.ru 

Ждем вас в Рок Зоне 💪",12,0,1,4394,1252066,1707403128,"— Теперь выбери себе тренера. Ты почувствуешь его. Если и он выберет тебя, действуй быстро. У тебя одна попытка, Джейк.
— А как понять, что он меня выбрал?
— Он захочет тебя убить.",-38936316.0,[],"{'count': 0, 'items': [], 'can_post': True, 'show_reply_button': True, 'groups_can_post': True}",,,,,
6,6,4388,1706799124,"В тренировках главное - прогресс. Более 90% скалолазов достигают потолка в течение первых пяти лет занятий скалолазанием и никогда не продвигаются дальше. Если это вы, возможно, вы совершаете в своих тренировках ошибки, описанные ниже.

Для большинства из нас скалолазание на полный рабочий день - это не вариант. Семья, работа и остальная жизнь тоже имеют свою ценность. Именно поэтому очень важно эффективно использовать то небольшое время, которое у нас есть на тренировки. 

📌 Итак, вернемся к ошибкам:

🔸Ошибка 1 - неспецифичные тренировки

Лазить просто для удовольствия - это хорошо, но это не является тренировкой. Само понятие «тренировка» предполагает, что вы развиваете какие-то физические, технические качества или энергосистемы.
Специфичность тренировки - это ее соответствие вашим целям. Если вы собираетесь на боулдеринг на скалы, нужно ли вам наматывать круги на свободной накрутке накануне поездки? 

🔸Ошибка 2 - работать только над сильными сторонами

Быстрый путь к улучшению лазания - это устранение ваших слабых сторон. 
Проблема с тренировкой слабостей заключается в том, что это не слишком приятно. 
Предположим, у вас большие проблемы с гибкостью. 
Если добавить два часа занятий на кампусе в неделю, вы станете лучше лишь на 1%. Добавьте 2 часа тренировок на технику и гибкость, и вы увидите улучшение на 10%. Вот почему очень важна честная самооценка. 

🔸Ошибка 3 - ничего никогда не менять 

Делайте то, что вы всегда делали, и вы получите то, что всегда получали. Суть в том, что тренировок, которые требовались, чтобы дойти до 6b, не хватит, чтобы дойти до 6c.

📌 Что можно изменить:

1. Увеличить объем тренировок - делать больше подходов и/или повторений, то есть увеличить общую нагрузку.

2. Повысить интенсивность. Пробуйте более сложные боулдеринги или выбирайте более нависающие трассы, если вы тренируетесь на выносливость.

3.  Уменьшить вес тела. Снижение веса тела всего на 5% может привести к значительному улучшению не только относительной силы, но и увеличению времени работы до отказа. Самое главное - подходить к процессу осторожно, использовать здоровые методы, такие как правильное питание и повышение активности. Но лучше всего снижать вес под наблюдением нутрициолога.  

☝️ Постоянно оценивайте свой прогресс. Если вы не видите улучшений, значит, вы занимаетесь активным отдыхом, а не тренируетесь. Тренировки всегда работают, просто нужно найти правильный путь. Вы всегда можете обратиться к нашим тренерам, чтобы улучшить ваше лазание и быстрее прогрессировать. 

До встречи в Рок Зоне! 💪",21,3,2,4389,260091507,1706887182,"Субъективно, причины моего длительного застоя в уровне лазания, могу обрисовать так: 
- недостаточный по времени и интенсивности объем тренировок, непосредственно, в лазании
- малое внимание к ОФП и СФП, и, как следствие, ""слабые звенья"" в физических кондициях
- леность в том, чтобы думать над наиболее техничными, вариантами пролазов, стремление ""вытянуть"" трудные трассы на силе и выносливости",-38936316.0,[],"{'count': 0, 'items': [], 'can_post': True, 'show_reply_button': True, 'groups_can_post': True}",,,,,
7,7,4388,1706799124,"В тренировках главное - прогресс. Более 90% скалолазов достигают потолка в течение первых пяти лет занятий скалолазанием и никогда не продвигаются дальше. Если это вы, возможно, вы совершаете в своих тренировках ошибки, описанные ниже.

Для большинства из нас скалолазание на полный рабочий день - это не вариант. Семья, работа и остальная жизнь тоже имеют свою ценность. Именно поэтому очень важно эффективно использовать то небольшое время, которое у нас есть на тренировки. 

📌 Итак, вернемся к ошибкам:

🔸Ошибка 1 - неспецифичные тренировки

Лазить просто для удовольствия - это хорошо, но это не является тренировкой. Само понятие «тренировка» предполагает, что вы развиваете какие-то физические, технические качества или энергосистемы.
Специфичность тренировки - это ее соответствие вашим целям. Если вы собираетесь на боулдеринг на скалы, нужно ли вам наматывать круги на свободной накрутке накануне поездки? 

🔸Ошибка 2 - работать только над сильными сторонами

Быстрый путь к улучшению лазания - это устранение ваших слабых сторон. 
Проблема с тренировкой слабостей заключается в том, что это не слишком приятно. 
Предположим, у вас большие проблемы с гибкостью. 
Если добавить два часа занятий на кампусе в неделю, вы станете лучше лишь на 1%. Добавьте 2 часа тренировок на технику и гибкость, и вы увидите улучшение на 10%. Вот почему очень важна честная самооценка. 

🔸Ошибка 3 - ничего никогда не менять 

Делайте то, что вы всегда делали, и вы получите то, что всегда получали. Суть в том, что тренировок, которые требовались, чтобы дойти до 6b, не хватит, чтобы дойти до 6c.

📌 Что можно изменить:

1. Увеличить объем тренировок - делать больше подходов и/или повторений, то есть увеличить общую нагрузку.

2. Повысить интенсивность. Пробуйте более сложные боулдеринги или выбирайте более нависающие трассы, если вы тренируетесь на выносливость.

3.  Уменьшить вес тела. Снижение веса тела всего на 5% может привести к значительному улучшению не только относительной силы, но и увеличению времени работы до отказа. Самое главное - подходить к процессу осторожно, использовать здоровые методы, такие как правильное питание и повышение активности. Но лучше всего снижать вес под наблюдением нутрициолога.  

☝️ Постоянно оценивайте свой прогресс. Если вы не видите улучшений, значит, вы занимаетесь активным отдыхом, а не тренируетесь. Тренировки всегда работают, просто нужно найти правильный путь. Вы всегда можете обратиться к нашим тренерам, чтобы улучшить ваше лазание и быстрее прогрессировать. 

До встречи в Рок Зоне! 💪",21,3,2,4392,1388225,1707229445,Новичковое трассы уровня 6а-8а  не требуют специфических тренировок,-38936316.0,[],"{'count': 0, 'items': [], 'can_post': True, 'show_reply_button': True, 'groups_can_post': True}",,,,,
8,8,4376,1705771297,"🔥 Как и обещали - целый  фестиваль динамики, прыжков, пробежек - всего того, что так популярно в современном скалолазании 😉
📣 С 23 по 29 января приглашаем вас принять участие в нашем проекте Вызов.Adult.Координация для взрослых посетителей скалодрома.

На этот раз все трассы будут включать в себя разнообразные координационные движения. 

- 24 современных динамичных трассы 🔥
- Лазаете и самостоятельно отмечаете результаты в карточке участника 📋
- Становитесь сильнее, техничнее и осваиваете новые движения 💪

ℹ️ Чтобы принять участие в фестивале, достаточно оплатить вход на скалодром (или списать посещение с абонемента) и получить карточку участника у администратора. 

Не упустите такой прекрасный шанс потренировать динамичный стиль лазания 💪

Ждем вас в Рок Зоне! ☺️",20,3,1,4377,260091507,1705793957,Скалобег-скалопрыг,-38936316.0,[],"{'count': 0, 'items': [], 'can_post': True, 'show_reply_button': True, 'groups_can_post': True}",,,,,
9,9,4369,1705593809,"Тайминг употребления белковой пищи. 

☝️ Согласно исследованиям, мышцы растут в два раза активнее через 24 часа после тренировки, чем через 4 часа, и процесс роста мышц может длиться до 48 часов.

Это означает, что нам нужно есть достаточное количество белка каждый день в течение 2 дней после тренировки. А если вы тренируетесь каждые 2 дня, значит, вы должны есть достаточно белка каждый день :) 

❓ Сколько белка нам нужно в день?
 
Нутрициологи советуют активным людям, тренирующимся с умеренной или высокой интенсивностью, стремиться к 1,5-2 г белка на килограмм массы тела (в идеале - распределенных на несколько приемов пищи) в день.

🔸 МИНИМАЛЬНОЕ КОЛИЧЕСТВО БЕЛКА НА ОДИН ПРИЕМ ПИЩИ

Взрослым людям необходим определенный минимум протеина для того, чтобы начался синтез белка (он же рост мышц). Это означает, что лучше съедать несколько более больших порций несколько раз в день, чем перекусывать небольшими порциями в течение дня.

Точное количество зависит от источника белка, в среднем эксперты по питанию в спорте советуют стремиться к минимуму в 10-15 г (или больше) за прием пищи.

🔸 МАКСИМАЛЬНОЕ КОЛИЧЕСТВО БЕЛКА НА ОДИН ПРИЕМ ПИЩИ

Существует также максимальное количество белка, которое наш организм может усвоить за один прием пищи (но это не означает, что большее количество вам как-то навредит).  
Это количество зависит от вашего пола и от состава тела. 
В среднем рекомендованное количество составляет 20-40 г белка 4 раза в день для женщин и 40-80 г 4 раза в день для мужчин. 

❗️ Самое важное - это научиться прислушиваться к своему организму и самочувствию и отдавать предпочтение продуктам, которые прошли минимальную промышленную обработку.",10,1,4,4370,584440802,1705599124,"Подписываюсь под каждым словом!
СУШёНКА - концентрат животного белка!",-38936316.0,[],"{'count': 0, 'items': [], 'can_post': True, 'show_reply_button': True, 'groups_can_post': True}",,,,,
